psa_iter,duration,dose,comp,mean_fm
3,12,225,0.0,1.0399775437065073
3,12,225,0.25,0.7791754413302981
3,12,225,0.5,0.5131445541520704
3,12,225,0.75,0.2596514383068121
3,12,300,0.0,1.3387201680839367
3,12,300,0.25,1.0163762921341166
3,12,300,0.5,0.67238497841317
3,12,300,0.75,0.33997047398430663
3,12,375,0.0,1.6360742876530554
3,12,375,0.25,1.2258692714569681
3,12,375,0.5,0.820840939076608
3,12,375,0.75,0.41992117779672505
3,12,450,0.0,1.9184877312040416
3,12,450,0.25,1.4079888114707246
3,12,450,0.5,0.9476260172448889
3,12,450,0.75,0.4716743661735915
3,16,0,0.0,0.0
3,16,0,0.25,0.0
3,16,0,0.5,0.0
3,16,0,0.75,0.0
3,16,75,0.0,0.4756838577908898
3,16,75,0.25,0.35296306371404307
3,16,75,0.5,0.23677108560986687
3,16,75,0.75,0.117379330625
3,16,150,0.0,0.9540924006356666
3,16,150,0.25,0.7111955963528025
3,16,150,0.5,0.4808671310559564
3,16,150,0.75,0.24263681475732723
3,16,225,0.0,1.3987082507056317
3,16,225,0.25,1.0586004039658032
3,16,225,0.5,0.6870650534652807
3,16,225,0.75,0.34921404223282904
3,16,300,0.0,1.799706568243154
3,16,300,0.25,1.3410879549410843
3,16,300,0.5,0.9146524961292624
3,16,300,0.75,0.4450360087081042
3,16,375,0.0,2.1853838016831335
3,16,375,0.25,1.645685487931561
3,16,375,0.5,1.0944324358978876
3,16,375,0.75,0.5600582464237609
3,16,450,0.0,2.5455038786032476
3,16,450,0.25,1.909575484427943
3,16,450,0.5,1.2881429254530274
3,16,450,0.75,0.6328675944657037
3,24,0,0.0,0.0
3,24,0,0.25,0.0
3,24,0,0.5,0.0
3,24,0,0.75,0.0
3,24,75,0.0,0.706497906902106
3,24,75,0.25,0.5337630612011419
3,24,75,0.5,0.3585180506189047
3,24,75,0.75,0.17975097385469918
3,24,150,0.0,1.424066118902474
3,24,150,0.25,1.0700043591712618
3,24,150,0.5,0.7213918421071187
3,24,150,0.75,0.36138114450565856
3,24,225,0.0,2.09344454793666
3,24,225,0.25,1.5572011344152834
3,24,225,0.5,1.0409976424889087
3,24,225,0.75,0.5180908152243244
3,24,300,0.0,2.6806496685371077
3,24,300,0.25,2.019881694002232
3,24,300,0.5,1.3407680131809976
3,24,300,0.75,0.6774561875126367
3,24,375,0.0,3.265397999854503
3,24,375,0.25,2.4573018103444864
3,24,375,0.5,1.636689137488148
3,24,375,0.75,0.8254942665683713
3,24,450,0.0,3.7901637622221633
3,24,450,0.25,2.83589885072112
3,24,450,0.5,1.8865162531976893
3,24,450,0.75,0.9458231383352598
4,8,0,0.0,0.0
4,8,0,0.25,0.0
4,8,0,0.5,0.0
4,8,0,0.75,0.0
4,8,75,0.0,0.19654392003825275
4,8,75,0.25,0.14950384775121114
4,8,75,0.5,0.09917893264515137
4,8,75,0.75,0.04904804034524173
4,8,150,0.0,0.3922591972056655
4,8,150,0.25,0.2966404307424873
4,8,150,0.5,0.19740489492954424
4,8,150,0.75,0.09659943871420505
4,8,225,0.0,0.5636753926039595
4,8,225,0.25,0.41840496471580424
4,8,225,0.5,0.28581160424070895
4,8,225,0.75,0.1395770823103203
4,8,300,0.0,0.7097130056520111
4,8,300,0.25,0.532541963140535
4,8,300,0.5,0.3604052779632393
4,8,300,0.75,0.1747793869403317
4,8,375,0.0,0.8822171586219306
4,8,375,0.25,0.6585003703969402
4,8,375,0.5,0.4464576412790727
4,8,375,0.75,0.21531263576301155
4,8,450,0.0,1.0573335507500772
4,8,450,0.25,0.7808240510494258
4,8,450,0.5,0.5305290010101099
4,8,450,0.75,0.2637711829035739
4,12,0,0.0,0.0
4,12,0,0.25,0.0
4,12,0,0.5,0.0
4,12,0,0.75,0.0
4,12,75,0.0,0.29314943232617563
4,12,75,0.25,0.21971635558457825
4,12,75,0.5,0.14927324268876044
4,12,75,0.75,0.07203139030681202
4,12,150,0.0,0.594392049914234
4,12,150,0.25,0.43844020136883616
4,12,150,0.5,0.2998453575856096
4,12,150,0.75,0.1469309282048502
4,12,225,0.0,0.8502705040283544
4,12,225,0.25,0.6278866394410575
4,12,225,0.5,0.4159223125943703
4,12,225,0.75,0.20905435404478992
4,12,300,0.0,1.0753974501874264
4,12,300,0.25,0.7997658047379742
4,12,300,0.5,0.5340425496542379
4,12,300,0.75,0.2731646125757977
4,12,375,0.0,1.3051060046933607
4,12,375,0.25,1.0001936147712214
4,12,375,0.5,0.6595086647280414
4,12,375,0.75,0.3230945983276766
4,12,450,0.0,1.585862629411074
4,12,450,0.25,1.1775841002145266
4,12,450,0.5,0.7891724145307821
4,12,450,0.75,0.403855640735522
4,16,0,0.0,0.0
4,16,0,0.25,0.0
4,16,0,0.5,0.0
4,16,0,0.75,0.0
4,16,75,0.0,0.3933000077766195
4,16,75,0.25,0.2965651979917107
4,16,75,0.5,0.19807787576776256
4,16,75,0.75,0.09941196880617602
4,16,150,0.0,0.7870768580432611
4,16,150,0.25,0.5926879684715041
4,16,150,0.5,0.39246422638497486
4,16,150,0.75,0.19347100442631063
