duration,dose,comp,psa_l,psa_median,psa_u
24,225,0.5,0.7760117596171144,0.9600595493248402,1.1684862805134806
24,225,0.75,0.38661961455215543,0.4824184399688634,0.5878383969538333
24,300,0.0,1.9698617843549908,2.485485946831303,3.0449966922131217
24,300,0.25,1.481939958782875,1.8658657196404276,2.283408390474532
24,300,0.5,1.001910056337848,1.245575971871137,1.5264860600601986
24,300,0.75,0.49451706588659083,0.6268654191035359,0.7640463413536849
24,375,0.0,2.382254244018092,3.0363162876819665,3.728728498901971
24,375,0.25,1.7898792431036668,2.2810315490591986,2.7910530491458374
24,375,0.5,1.196396326166088,1.5199557670607229,1.8569290038872759
24,375,0.75,0.5993383068906608,0.7636242730333256,0.9321515887946148
24,450,0.0,2.798040549083469,3.5518812874964354,4.395791705029239
24,450,0.25,2.1099977810736212,2.6531332510864414,3.2911890875396894
24,450,0.5,1.4083174889819863,1.7708023681532163,2.2115295991855812
24,450,0.75,0.6911532470690879,0.8861379795977724,1.0948158246339783
