comp,dose,delta_fm
0.0,75,0.3213696560875234
0.0,75,0.2492066676473438
0.0,75,0.3992906659362022
0.0,75,0.3790925237598589
0.0,75,0.2405704502109443
0.0,75,0.3332603179599309
0.0,75,0.1915287849748831
0.0,75,0.487338022906678
0.0,75,0.2402251015460103
0.0,75,0.2786951585015512
0.0,75,0.2704564429564259
0.0,75,0.2978189570568219
0.0,75,0.323523664683674
0.0,75,0.5470138569514729
0.0,75,0.235770574770833
0.0,75,0.5423397354047915
0.0,75,0.2595314786055403
0.0,75,0.2369018497369152
0.0,75,0.236254175654955
0.0,75,0.3769634942797394
0.0,75,0.3359713244198796
0.0,75,0.4477869062131807
0.0,75,0.3111219343058132
0.0,75,0.2312478875000096
0.0,75,0.2609185313865865
0.0,75,0.1848602537664403
0.0,75,0.2026002448242419
0.0,75,0.2399770115143901
0.0,75,0.1714186322134796
0.0,75,0.2212880531579114
0.0,75,0.3598614721611946
0.0,75,0.5268355548590299
0.0,75,0.2955342479682323
0.0,75,0.345073680184594
0.0,75,0.26372859571681
0.0,75,0.2158667383203526
0.0,75,0.5393900335443418
0.0,75,0.3816859209259112
0.0,75,0.3441187906560716
0.0,75,0.3987509364948388
0.0,75,0.2652970252471472
0.0,75,0.2175005772834272
0.0,75,0.4400482961142392
0.0,75,0.3194133012559274
0.0,75,0.3355941323982391
0.0,75,0.1656748953351703
0.0,75,0.2356138529825486
0.0,75,0.2740879295998371
0.0,75,0.2496769274035796
0.0,75,0.2661755557892699
0.0,75,0.3361506360296413
0.0,75,0.5822786502052397
0.0,75,0.3100023446469759
0.0,75,0.5608225884012619
0.0,75,0.3729093561377731
0.0,75,0.3127842504000188
0.0,75,0.202049741717416
0.0,75,0.5720618879920306
0.0,75,0.3407604575966979
0.0,75,0.2820006789384434
0.0,75,0.3216300978982175
0.0,75,0.3083661475967943
0.0,75,0.1516498143191241
0.0,75,0.4035862210515217
0.0,75,0.1839657876809295
0.0,75,0.3882172609882046
0.0,75,0.6856736282838888
0.0,75,0.3902711415567645
0.0,75,0.296553331044169
0.0,75,0.1681407263033328
0.0,75,0.3076786567423051
0.0,75,0.1701652981615682
0.0,75,0.4612554447552221
0.0,75,0.2938102741051699
0.0,75,0.340549825423492
0.0,75,0.186375776547209
0.0,75,0.2655563904432112
0.0,75,0.4947945712926242
0.0,75,0.2126194749542902
0.0,75,0.1938805976338566
0.0,75,0.3309222981569445
0.0,75,0.1822124301570477
0.0,75,0.1121442743067384
0.0,75,0.4090313388140885
0.0,75,0.3069581612447477
0.0,75,0.3298737435262296
0.0,75,0.2707780123748172
0.0,75,0.2629254784324997
0.0,75,0.1401451409095865
0.0,75,0.4411740779365883
0.0,75,0.1763284823066302
0.0,75,0.2630681788099607
0.0,75,0.4041091257755269
0.0,75,0.3504082429202197
0.0,75,0.3943071564694987
0.0,75,0.2712998487120792
0.0,75,0.1576515971158279
0.0,75,0.173171032814637
0.0,75,0.4518701443801386
0.0,75,0.3396632497418015
0.0,75,0.3844965855747584
0.0,75,0.273092325120264
0.0,75,0.3460198161230847
0.0,75,0.3718711115082879
0.0,75,0.1999036146127765
0.0,75,0.1758964767085541
0.0,75,0.4245956939547004
0.0,75,0.3653313953126875
0.0,75,0.2849807402420051
0.0,75,0.2697524369526342
0.0,75,0.3554690535865352
0.0,75,0.3779087064411341
0.0,75,0.5247612475431309
0.0,75,0.1014590524941284
0.0,75,0.4965292571785487
0.0,75,0.3943150036734039
0.0,75,0.2453521059212519
0.0,75,0.395398259056085
0.0,75,0.2939277486355965
0.0,75,0.2177457523737317
0.0,75,0.2729418177035122
0.0,75,0.6390013721889538
0.0,75,0.1711025156279796
0.0,75,0.3788193407613686
0.0,75,0.5968581504100411
0.0,75,0.1718210740146475
0.0,75,0.4137704270688457
0.0,75,0.3537425745513445
0.0,75,0.3014936183528786
0.0,75,0.3515519844368416
0.0,75,0.1695834540395563
0.0,75,0.5376549078327743
0.0,75,0.3171814941255854
0.0,75,0.3409150297826768
0.0,75,0.4168868668561447
0.0,75,0.4536001357704011
0.0,75,0.3673589123395718
0.0,75,0.2164406919288288
0.0,75,0.6050666280562006
0.0,75,0.3910256123676819
0.0,75,0.3383692448448095
0.0,75,0.4685941093597977
0.0,75,0.3453100582821036
0.0,75,0.2740363149080546
